"No.","Time","Source","Destination","Protocol","Length","Info"
"68219","133.189710","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"69476","134.150670","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"70578","135.184906","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"70754","136.201835","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"70917","137.214610","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"71137","138.293377","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"71415","140.071381","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"71459","140.258992","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"71830","141.530103","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"72143","142.150306","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"73114","143.182850","10.113.133.19","10.113.133.11","MQTT","56","Ping Request"
"73115","143.183134","10.113.133.11","10.113.133.19","MQTT","56","Ping Response"
"73224","143.275773","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"74453","144.181435","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"75993","145.196594","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"77082","146.215725","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"78121","147.152988","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"78143","148.167952","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"78160","149.215924","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"78175","150.158429","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"78194","151.163074","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"78749","152.170267","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"80098","153.198361","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"81400","154.217850","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"82499","155.214775","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"83915","156.193918","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"85087","157.188416","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"86423","158.218263","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"87623","159.195528","10.113.133.19","10.113.133.11","MQTT","56","Ping Request"
"87624","159.195788","10.113.133.11","10.113.133.19","MQTT","56","Ping Response"
"87709","159.273979","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"89180","160.228061","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90358","161.236158","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90710","162.195715","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90726","163.181836","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90738","164.264043","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90751","165.189977","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90760","166.219897","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90772","167.222518","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90792","168.185259","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90815","169.196411","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"90829","170.211816","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
